"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NZL","New Zealand","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,71.3,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,4.1,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,4.1,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,3.8,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,5.1,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,4.6,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,4.6,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,4.6,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,5.9,,
"NOR","Norway","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,77.2,,
"NOR","Norway","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,77.6,,
"NOR","Norway","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,76.3,,
"NOR","Norway","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,75.8,,
"NOR","Norway","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,73.1,,
"NOR","Norway","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,73.3,,
"NOR","Norway","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,72.3,,
"NOR","Norway","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,72.4,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,4.6,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,3.8,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,4.6,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,5.5,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,3.5,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,3.5,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,4.3,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,4.4,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,74.8,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,74.7,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,74.3,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,74.7,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,60.6,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,60.7,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,60.3,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,61,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,2.9,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,2.9,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,3.1,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,3.2,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,3.4,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,3.1,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,3.3,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,3.6,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,72.4,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,72.4,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,70.6,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,69.9,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,67.4,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,66.9,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,64.6,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,66.5,,
"PRT","Portugal","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,6.1,,
"PRT","Portugal","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,6.3,,
"PRT","Portugal","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,5.9,,
"PRT","Portugal","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,8.4,,
"PRT","Portugal","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,7.4,,
"PRT","Portugal","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,7.3,,
"PRT","Portugal","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,6.8,,
"PRT","Portugal","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,7.8,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,73.8,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,73.4,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,72.5,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,72.8,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,66.6,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,66.8,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,65.8,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,65.8,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,5.6,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,5.8,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,6.3,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,6.6,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,6.2,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,6.5,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,6.9,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,7.7,,
"ESP","Spain","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,68.7,,
"ESP","Spain","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,68.1,,
"ESP","Spain","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,64.7,,
"ESP","Spain","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,65.7,,
"ESP","Spain","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,58,,
"ESP","Spain","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,57.3,,
"ESP","Spain","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,54,,
"ESP","Spain","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,55.6,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,12.5,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,12.7,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,14.1,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,14.7,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,16,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,16.4,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,17.1,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,18.1,,
"SWE","Sweden","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,78.3,,
"SWE","Sweden","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,78,,
"SWE","Sweden","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,76.9,,
"SWE","Sweden","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,76.2,,
"SWE","Sweden","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,74.5,,
"SWE","Sweden","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,73.6,,
"SWE","Sweden","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,72.1,,
"SWE","Sweden","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,72.6,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,7.3,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,7.7,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,8.7,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,9.6,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,7.5,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,7.7,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,8.8,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,9.1,,
"CHE","Switzerland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,84.6,,
"CHE","Switzerland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,84.9,,
"CHE","Switzerland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,83.4,,
"CHE","Switzerland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,83.5,,
"CHE","Switzerland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,76.8,,
"CHE","Switzerland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,76.3,,
"CHE","Switzerland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,74.8,,
"CHE","Switzerland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,75.9,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,4.1,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,4.3,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,5,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,5,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,4.4,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,4.5,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,4.7,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,5.6,,
"TUR","Türkiye","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,68.6,,
"TUR","Türkiye","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,67.1,,
"TUR","Türkiye","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,62.4,,
"TUR","Türkiye","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,65.4,,
"TUR","Türkiye","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,31.8,,
"TUR","Türkiye","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,30.4,,
"TUR","Türkiye","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,29,,
"TUR","Türkiye","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,29.9,,
"TUR","Türkiye","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,12,,
"TUR","Türkiye","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,11.8,,
"TUR","Türkiye","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,13.6,,
"TUR","Türkiye","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,12.6,,
"TUR","Türkiye","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,16.7,,
"TUR","Türkiye","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,15.4,,
"TUR","Türkiye","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,14.6,,
"TUR","Türkiye","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,15.5,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,80.6,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,80.2,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,79.6,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,78.2,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,72.4,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,72.5,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,71.9,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,71.6,,
"GBR","United Kingdom","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,4,,
"GBR","United Kingdom","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,4.3,,
"GBR","United Kingdom","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,4.4,,
"GBR","United Kingdom","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,5.4,,
"GBR","United Kingdom","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2019","Q4-2019","PC","Percentage","0","Units",,,3.7,,
"GBR","United Kingdom","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,3.9,,
"GBR","United Kingdom","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,4.1,,
"GBR","United Kingdom","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,4.5,,
"USA","United States","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,76.3,,
"USA","United States","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,67.8,,
"USA","United States","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2020","Q3-2020","PC","Percentage","0","Units",,,71.2,,
"USA","United States","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2020","Q4-2020","PC","Percentage","0","Units",,,72.6,,
"USA","United States","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2020","Q1-2020","PC","Percentage","0","Units",,,66.6,,
"USA","United States","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2020","Q2-2020","PC","Percentage","0","Units",,,57.2,,
